Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,68,12,T:System.Web.UI.HtmlControls.HtmlInputHidden,,,,,int editId = int.Parse(hfEditId.Value);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,68,12,P:System.Web.UI.HtmlControls.HtmlInputControl.Value,,,,,int editId = int.Parse(hfEditId.Value);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,66,12,T:System.Web.UI.Page,,,,,if (!Page.IsValid) return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,66,12,P:System.Web.UI.Control.Page,,,,,if (!Page.IsValid) return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,66,12,P:System.Web.UI.Page.IsValid,,,,,if (!Page.IsValid) return;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,61,12,T:System.Web.UI.WebControls.Panel,,,,,pnlForm.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,61,12,P:System.Web.UI.Control.Visible,,,,,pnlForm.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,56,12,T:System.Web.UI.WebControls.Panel,,,,,pnlForm.Visible   = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,56,12,P:System.Web.UI.Control.Visible,,,,,pnlForm.Visible   = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,55,12,T:System.Web.UI.WebControls.TextBox,,,,,"txtName.Text      = txtPrice.Text = txtDescription.Text = txtStock.Text = """";"
